Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Contractor-details_Details-entrepr_eng,Contractor-details_Details-entrepr_fra,Proj-desc_eng,Proj-desc_fra,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2022/2023,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","E Construction Ltd., Edmonton, Alberta","E Construction Ltd., Edmonton, Alberta","Expansion of Athabasca detachment parking lot, Athabasca, Alberta","Agrandissement du stationnement du détachement d'Athabasca, Athabasca, Alberta",323223,144486,323223
2022/2023,07,Finances,Finance,011,"Office of the Superintendent of Financial Institutions","Bureau du surintendant des institutions financières","Contracts under $250,000 and cost plus contracts under $25,000 (2 contractors)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (2 entrepreneurs)",Total,Total,145392,145383,145383
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","TECT-HAB Inc, Chicoutimi, Quebec","TECT-HAB Inc, Chicoutimi, Québec","Construction Works - Buildings, Bagotville, Quebec","Travaux de construction - Bâtiments, Bagotville, Québec",2035532,147001,2004532
2022/2023,22,Transports,Transport,034,"Department of Transport","Ministère des Transports","Parsons Corporation, Halifax, Nova Scotia","Parsons Corporation, Halifax, Nouvelle-Écosse","Wharf construction at Caribou and Wood Islands ferry terminals, Various locations, Various Atlantic provinces","Construction du quai aux gares maritimes de Caribou et de Wood Islands, Lieux variés, Plusieurs provinces de la région de l'Atlantique",2425673,149966,149966
2022/2023,21,"Sécurité publique","Public Safety",053,"Correctional Service of Canada","Service correctionnel du Canada","CORCAN, Ottawa, Ontario","CORCAN, Ottawa, Ontario","Building 18 firestop sealing at Cowansville Institution, Cowansville, Quebec","Scellement coupe-feu bât.18 à l'établissement Cowansville, Cowansville, Québec",150000,150000,150000
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Bondfield Construction Company Ltd., Vaughan, Ontario","Bondfield Construction Company Ltd., Vaughan, Ontario","Construction Works - Buildings, Petawawa, Ontario","Travaux de construction - Bâtiments, Petawawa, Ontario",34666065,150554,34666065
2022/2023,14,"Innovation, Sciences et Industrie","Innovation, Science and Industry",054,"Statistics Canada","Statistique Canada","Contracts under $250,000 and cost plus contracts under $25,000 (2 contractors)","Contrats inférieurs à 250,000 $ et contrats à prix coûtant majoré inférieurs à 25,000 $ (2 entrepreneurs)",Total,Total,0,151940,0
2022/2023,13,"Relations Couronne-Autochtones et Affaires du Nord","Crown-Indigenous Relations and Northern Affairs",171,"Canadian High Arctic Research Station","Station canadienne de recherche dans l'Extrême-Arctique","Contracts under $250,000 and cost plus contracts under $25,000 (1 contractor)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (1 entrepreneur)",Total,Total,0,152637,0
2022/2023,08,"Pêches, Océans et Garde côtière canadienne","Fisheries, Oceans and the Canadian Coast Guard",086,"Department of Fisheries and Oceans","Ministère des Pêches et des Océans","C.C. MacDonald Limited, Halifax, Nova Scotia","C.C. MacDonald Limited, Halifax, Nouvelle-Écosse","Ellis lab ventilation upgrade at the Bedford Institute of Oceanography, Dartmouth, Nova Scotia","Mise à niveau du système de ventilation de Ellis lab à l'Institut océanographique de Bedford, Dartmouth, Nouvelle-Écosse",1725640,153894,1725640
2022/2023,16,"Défense nationale","National Defence",018,"Department of National Defence","Ministère de la Défense nationale","Ecowall Systems o/a A Class Contractors, Toronto, Ontario","Ecowall Systems o/a A Class Contractors, Toronto, Ontario","Construction Works - Buildings, Toronto, Ontario","Travaux de construction - Bâtiments, Toronto, Ontario",1008500,154800,154800
